Model,Rank,Feature,Importance,Cumulative_Importance
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",9,DJIA_QoQ,0.025681184589078285,0.7545820568913604
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",10,Last3mCumulativeRevenue_last1,0.024112284588566117,0.7786943414799264
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",11,IXIC_QoQ,0.0163863296079645,0.7950806710878909
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",12,FnG_QoQ_Lag2,0.01356128989198314,0.8086419609798741
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",13,EPS_last1,0.013229388228864993,0.821871349208739
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",14,ROE_last1,0.011989448901515742,0.8338607981102548
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",15,VIX_QoQ_Lag2,0.011866806805534738,0.8457276049157896
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",16,VIX_QoQ_Lag1,0.011263635290614396,0.8569912402064039
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",17,Last3mCumulativeRevenueGrowthRate_last1,0.010487118201723555,0.8674783584081275
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",18,QuarterlyReturn_Lag3,0.008992493120451542,0.8764708515285791
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",19,ROA_last1,0.008784363027659343,0.8852552145562385
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",20,IXIC_QoQ_Lag3,0.008706500347110223,0.8939617149033486
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",1,Spread_cur,0.3574973263744985,0.3574973263744985
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.07357580352991053,0.43107312990440905
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",3,TradingVolume_cur,0.07182885695567597,0.502901986860085
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",4,TradingMoney_cur,0.06312307981993498,0.56602506668002
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",5,QuarterlyReturn_Lag1,0.05323185678801569,0.6192569234680356
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",6,SOX_QoQ,0.048586161179332045,0.6678430846473676
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",7,VIX_QoQ,0.036692525273239504,0.7045356099206072
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",8,DJIA_QoQ,0.026974933508488074,0.7315105434290953
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",9,Last3mCumulativeRevenue_last1,0.024500161910996927,0.7560107053400922
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",10,SP500_QoQ,0.024003503734504352,0.7800142090745965
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",11,IXIC_QoQ,0.01669244446400785,0.7967066535386044
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",12,FnG_QoQ_Lag2,0.013475583191931253,0.8101822367305356
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",13,EPS_last1,0.013321758537610534,0.8235039952681461
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",14,ROE_last1,0.013219978191393991,0.8367239734595401
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",15,VIX_QoQ_Lag2,0.011971435930785125,0.8486954093903252
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",16,VIX_QoQ_Lag1,0.010575005226741326,0.8592704146170665
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",17,Last3mCumulativeRevenueGrowthRate_last1,0.009784133824014192,0.8690545484410808
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",18,ROA_last1,0.009135668988370564,0.8781902174294514
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",19,IXIC_QoQ_Lag3,0.008636695714108572,0.8868269131435599
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",20,QuarterlyReturn_Lag3,0.007768113375753627,0.8945950265193136
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",1,Spread_cur,0.3492286513771362,0.3492286513771362
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",2,TradingTurnover_cur,0.0841977216849291,0.43342637306206533
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",3,TradingVolume_cur,0.07143092865211338,0.5048573017141788
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",4,TradingMoney_cur,0.06232363300181143,0.5671809347159902
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",5,SOX_QoQ,0.05327817040971242,0.6204591051257026
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",6,VIX_QoQ,0.04527440979173509,0.6657335149174377
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",7,QuarterlyReturn_Lag1,0.043644654083630746,0.7093781690010684
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",8,DJIA_QoQ,0.02825108191436278,0.7376292509154312
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",9,IXIC_QoQ,0.02487542396099608,0.7625046748764273
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",10,SP500_QoQ,0.023663804266705946,0.7861684791431331
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",11,Last3mCumulativeRevenue_last1,0.023530892436205156,0.8096993715793384
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",12,IXIC_QoQ_Lag3,0.014104228923363901,0.8238036005027023
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",13,VIX_QoQ_Lag1,0.01391493346582449,0.8377185339685268
"RF Model1 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",14,FnG_QoQ_Lag2,0.009947969822078075,0.8476665037906049
