Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"XGB Model3 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001441,0.025378,0.802472,0.802091
"XGB Model3 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002767,0.031867,0.690182,0.685741
"XGB Model3 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001377,0.024809,0.811255,0.810890
"XGB Model3 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002764,0.031353,0.690458,0.686021
"XGB Model3 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.000973,0.021830,0.866663,0.866405
"XGB Model3 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002807,0.032042,0.685711,0.681206
"XGB Model3 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.000749,0.019534,0.897347,0.897148
"XGB Model3 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002840,0.032447,0.682006,0.677448
"XGB Model3 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.000892,0.020952,0.877745,0.877509
"XGB Model3 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002963,0.032399,0.668211,0.663455
"XGB Model3 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.000430,0.014964,0.941001,0.940887
"XGB Model3 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.003031,0.033259,0.660565,0.655699
"XGB Model3 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.000231,0.010959,0.968327,0.968266
"XGB Model3 (learning_rate = 0.1, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.003056,0.033614,0.657829,0.652925
KNN Model3 - 2017Q1 to 2026Q4,Training_Set,0.000000,0.000000,1.000000,1.000000
KNN Model3 - 2017Q1 to 2026Q4,Holdout_Set,0.004269,0.040486,0.521948,0.515096
OLS Model3 - 2017Q1 to 2026Q4,Training_Set,0.002184,0.029444,0.700571,0.699993
OLS Model3 - 2017Q1 to 2026Q4,Holdout_Set,0.011746,0.097957,-0.315363,-0.334217
Lasso Model3 - 2017Q1 to 2026Q4,Training_Set,0.002383,0.030652,0.673278,0.672647
Lasso Model3 - 2017Q1 to 2026Q4,Holdout_Set,0.003085,0.033568,0.654540,0.649588
Ridge Model3 - 2017Q1 to 2026Q4,Training_Set,0.002185,0.029435,0.700528,0.699950
Ridge Model3 - 2017Q1 to 2026Q4,Holdout_Set,0.008990,0.083026,-0.006697,-0.021126
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003361,0.038649,0.543018,0.542157
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004826,0.043949,0.459550,0.452225
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003332,0.038189,0.547014,0.546162
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004828,0.043431,0.459327,0.451998
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003312,0.038002,0.549750,0.548902
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004801,0.043180,0.462376,0.455088
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003371,0.038603,0.541711,0.540848
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004802,0.043772,0.462261,0.454971
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003336,0.038135,0.546434,0.545580
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004810,0.043314,0.461361,0.454060
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003326,0.038015,0.547776,0.546925
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004795,0.043126,0.463110,0.455832
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003407,0.038753,0.536853,0.535981
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004827,0.043896,0.459497,0.452171
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003353,0.038175,0.544120,0.543261
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004792,0.043307,0.463413,0.456139
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003342,0.038002,0.545640,0.544785
"RF Model4 (max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004792,0.043136,0.463385,0.456111
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003831,0.041229,0.479173,0.478192
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.005440,0.046469,0.390809,0.382551
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003740,0.040584,0.491527,0.490570
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.005323,0.045781,0.403941,0.395861
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003729,0.040542,0.493053,0.492099
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.005307,0.045771,0.405721,0.397666
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003859,0.041238,0.475362,0.474374
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.005442,0.046370,0.390585,0.382324
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003758,0.040561,0.489107,0.488145
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.005314,0.045733,0.404951,0.396885
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003761,0.040613,0.488713,0.487750
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.005317,0.045853,0.404652,0.396582
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.003887,0.041343,0.471506,0.470511
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.005487,0.046661,0.385552,0.377223
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.003773,0.040541,0.487070,0.486104
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.005292,0.045580,0.407440,0.399408
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.003777,0.040563,0.486485,0.485518
"RF Model4 (max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.005302,0.045671,0.406316,0.398269
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001998,0.029149,0.728335,0.727823
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003796,0.036825,0.574912,0.569150
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001981,0.029008,0.730643,0.730136
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003756,0.036719,0.579365,0.573663
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001980,0.028974,0.730778,0.730271
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003759,0.036689,0.579085,0.573379
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002201,0.030062,0.700758,0.700195
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003887,0.037270,0.564760,0.558860
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002172,0.029705,0.704741,0.704186
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003830,0.036826,0.571096,0.565282
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002177,0.029666,0.704004,0.703447
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003838,0.036847,0.570182,0.564356
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002411,0.030848,0.672200,0.671583
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003962,0.037506,0.556330,0.550316
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002388,0.030574,0.675386,0.674774
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003965,0.037317,0.556040,0.550022
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002375,0.030447,0.677057,0.676449
"RF Model4 (max_depth = 10, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003937,0.037189,0.559139,0.553164
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002312,0.031626,0.685652,0.685060
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004180,0.039449,0.531911,0.525566
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002300,0.031502,0.687377,0.686788
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004204,0.039514,0.529257,0.522876
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002301,0.031473,0.687140,0.686551
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004186,0.039368,0.531250,0.524896
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002489,0.032284,0.661618,0.660981
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004276,0.039632,0.521187,0.514697
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002455,0.031907,0.666186,0.665558
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004208,0.039266,0.528834,0.522447
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002467,0.031936,0.664605,0.663973
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004223,0.039284,0.527068,0.520657
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002670,0.032624,0.637034,0.636351
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004272,0.039352,0.521590,0.515105
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002654,0.032501,0.639224,0.638545
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004258,0.039301,0.523205,0.516742
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002645,0.032475,0.640413,0.639736
"RF Model4 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004263,0.039369,0.522661,0.516191
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001466,0.023652,0.800724,0.800349
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003585,0.035304,0.598555,0.593114
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001456,0.023482,0.802067,0.801694
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003597,0.035193,0.597204,0.591744
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001450,0.023429,0.802861,0.802490
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003575,0.035080,0.599623,0.594196
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001831,0.025952,0.751015,0.750546
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003673,0.035451,0.588661,0.583085
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001838,0.025960,0.750126,0.749656
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003678,0.035452,0.588126,0.582543
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001840,0.025936,0.749886,0.749415
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003688,0.035459,0.586995,0.581397
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002213,0.028544,0.699140,0.698573
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003849,0.036313,0.569026,0.563184
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002202,0.028360,0.700685,0.700122
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003813,0.036050,0.573056,0.567269
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002197,0.028303,0.701266,0.700704
"RF Model4 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003819,0.036059,0.572380,0.566583
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.001686,0.025631,0.770763,0.770331
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.003897,0.037180,0.563653,0.557738
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.001672,0.025432,0.772731,0.772303
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.003893,0.037077,0.564060,0.558151
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.001680,0.025480,0.771674,0.771244
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.003910,0.037188,0.562130,0.556195
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002114,0.028309,0.712633,0.712092
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004085,0.038017,0.542571,0.536371
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002095,0.028096,0.715197,0.714660
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004064,0.037801,0.544890,0.538721
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002093,0.028065,0.715467,0.714931
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004043,0.037690,0.547282,0.541146
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.002483,0.030531,0.662391,0.661755
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.004233,0.038720,0.525985,0.519560
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.002456,0.030274,0.666153,0.665525
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.004190,0.038397,0.530777,0.524417
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.002462,0.030329,0.665328,0.664698
"RF Model4 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.004188,0.038374,0.531082,0.524726
"XGB Model4 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.003279,0.038382,0.554175,0.553288
"XGB Model4 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.004296,0.042184,0.518921,0.512025
"XGB Model4 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.002265,0.029768,0.692094,0.691481
"XGB Model4 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.003106,0.033165,0.652246,0.647262
"XGB Model4 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.002069,0.028486,0.718740,0.718181
"XGB Model4 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002940,0.032111,0.670793,0.666074
"XGB Model4 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.002876,0.036101,0.609077,0.608299
"XGB Model4 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.003990,0.040303,0.553191,0.546787
"XGB Model4 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001829,0.027412,0.751313,0.750818
"XGB Model4 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002890,0.032084,0.676400,0.671761
"XGB Model4 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001623,0.026188,0.779415,0.778976
"XGB Model4 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002859,0.031731,0.679878,0.675289
"XGB Model4 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.002529,0.034561,0.656146,0.655462
"XGB Model4 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.004012,0.039896,0.550787,0.544348
"XGB Model4 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001350,0.024814,0.816530,0.816165
"XGB Model4 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002949,0.032347,0.669796,0.665063
"XGB Model4 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001125,0.023057,0.847109,0.846805
"XGB Model4 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002941,0.032171,0.670639,0.665918
"XGB Model4 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.002064,0.028460,0.719355,0.718796
"XGB Model4 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002928,0.032028,0.672090,0.667390
"XGB Model4 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001802,0.027153,0.755038,0.754550
"XGB Model4 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002809,0.031541,0.685411,0.680902
"XGB Model4 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001671,0.026531,0.772771,0.772319
"XGB Model4 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002800,0.031671,0.686476,0.681982
"XGB Model4 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001620,0.026176,0.779699,0.779261
"XGB Model4 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002873,0.031793,0.678323,0.673713
"XGB Model4 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.001244,0.024026,0.830864,0.830527
"XGB Model4 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002878,0.032047,0.677753,0.673134
"XGB Model4 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.001044,0.022490,0.858098,0.857816
"XGB Model4 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.002911,0.032399,0.674047,0.669375
"XGB Model4 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.001132,0.023103,0.846109,0.845802
"XGB Model4 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.002927,0.032168,0.672208,0.667510
"XGB Model4 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.000747,0.019358,0.898439,0.898237
"XGB Model4 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.002967,0.032647,0.667810,0.663048
