Model,Dataset,MSE,MAE,R-Squared,Adj-R-Squared
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020181,0.092658,0.340704,0.331889
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.023059,0.078596,0.399933,0.398849
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020305,0.092736,0.336652,0.327783
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.023240,0.078757,0.395227,0.394134
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020722,0.093893,0.323053,0.314002
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.023189,0.078632,0.396547,0.395457
"RF Model1 (max_depth = 10, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020590,0.093402,0.327364,0.318371
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.015310,0.061946,0.601577,0.600857
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.018616,0.089673,0.391828,0.383696
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.015511,0.062016,0.596351,0.595622
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.018543,0.089230,0.394211,0.386111
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.015550,0.061956,0.595348,0.594618
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.018533,0.089079,0.394549,0.386454
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.018462,0.067203,0.519572,0.518704
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.018789,0.089632,0.386199,0.377993
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.018545,0.067153,0.517415,0.516544
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.018767,0.089461,0.386907,0.378709
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.018585,0.067152,0.516364,0.515490
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.018812,0.089382,0.385438,0.377221
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.020782,0.071566,0.459195,0.458218
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019316,0.090693,0.368956,0.360519
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.020933,0.071668,0.455254,0.454270
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019286,0.090586,0.369964,0.361540
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.020907,0.071634,0.455929,0.454946
"RF Model1 (max_depth = 15, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019177,0.090359,0.373508,0.365132
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.016321,0.064576,0.575281,0.574514
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019781,0.091320,0.353784,0.345144
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.016494,0.064520,0.570774,0.569998
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019720,0.091145,0.355760,0.347146
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.016489,0.064406,0.570907,0.570132
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 5, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019661,0.090887,0.357691,0.349103
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.019489,0.069583,0.492850,0.491934
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.019646,0.090883,0.358202,0.349621
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.019586,0.069547,0.490314,0.489394
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.019974,0.091378,0.347484,0.338759
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.019556,0.069438,0.491089,0.490169
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 10, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.019898,0.091090,0.349969,0.341278
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Training_Set,0.021868,0.073899,0.430930,0.429902
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 100 - 2017Q1 to 2026Q4)",Holdout_Set,0.020356,0.092783,0.334979,0.326088
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Training_Set,0.021969,0.074054,0.428291,0.427258
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 300 - 2017Q1 to 2026Q4)",Holdout_Set,0.020526,0.092748,0.329449,0.320484
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Training_Set,0.021987,0.074069,0.427832,0.426798
"RF Model1 (max_depth = 15, max_features = log2, min_samples_leaf = 20, n_estimators = 500 - 2017Q1 to 2026Q4)",Holdout_Set,0.020444,0.092583,0.332127,0.323197
"XGB Model1 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.025901,0.090148,0.325985,0.324699
"XGB Model1 (learning_rate = 0.01, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.023558,0.105502,0.230382,0.219501
"XGB Model1 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.020628,0.080520,0.463204,0.462179
"XGB Model1 (learning_rate = 0.01, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.021529,0.096842,0.296666,0.286722
"XGB Model1 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.018632,0.076892,0.515153,0.514228
"XGB Model1 (learning_rate = 0.01, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.021095,0.094059,0.310864,0.301121
"XGB Model1 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.022063,0.084601,0.425848,0.424752
"XGB Model1 (learning_rate = 0.01, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022375,0.103162,0.269029,0.258695
"XGB Model1 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.015551,0.073783,0.595309,0.594537
"XGB Model1 (learning_rate = 0.01, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.020374,0.093278,0.334391,0.324981
"XGB Model1 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.013107,0.069940,0.658918,0.658267
"XGB Model1 (learning_rate = 0.01, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.020708,0.091821,0.323483,0.313919
"XGB Model1 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.018887,0.080020,0.508497,0.507559
"XGB Model1 (learning_rate = 0.01, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022081,0.101691,0.278625,0.268427
"XGB Model1 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.011094,0.066840,0.711296,0.710745
"XGB Model1 (learning_rate = 0.01, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.022087,0.093987,0.278449,0.268248
"XGB Model1 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.008596,0.061949,0.776317,0.775890
"XGB Model1 (learning_rate = 0.01, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.022434,0.092382,0.267122,0.256761
"XGB Model1 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.018895,0.076981,0.508288,0.507350
"XGB Model1 (learning_rate = 0.05, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.020489,0.094141,0.330650,0.321186
"XGB Model1 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.015002,0.071427,0.609608,0.608863
"XGB Model1 (learning_rate = 0.05, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.020836,0.091543,0.319322,0.309698
"XGB Model1 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.013116,0.069158,0.658693,0.658041
"XGB Model1 (learning_rate = 0.05, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.023571,0.091836,0.229965,0.219078
"XGB Model1 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.013184,0.069967,0.656917,0.656262
"XGB Model1 (learning_rate = 0.05, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.020857,0.092284,0.318636,0.309003
"XGB Model1 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.008678,0.062318,0.774173,0.773742
"XGB Model1 (learning_rate = 0.05, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.022145,0.092255,0.276539,0.266311
"XGB Model1 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.006969,0.058097,0.818658,0.818312
"XGB Model1 (learning_rate = 0.05, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.023115,0.092515,0.244873,0.234197
"XGB Model1 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.008675,0.061935,0.774260,0.773829
"XGB Model1 (learning_rate = 0.05, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022091,0.092807,0.278311,0.268108
"XGB Model1 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.004897,0.050449,0.872570,0.872326
"XGB Model1 (learning_rate = 0.05, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.022735,0.093519,0.257286,0.246786
"XGB Model1 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.003342,0.042357,0.913026,0.912860
"XGB Model1 (learning_rate = 0.05, max_depth = 7, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.022832,0.093926,0.254121,0.243576
"XGB Model1 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.016217,0.073013,0.577987,0.577181
"XGB Model1 (learning_rate = 0.1, max_depth = 3, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.020657,0.092530,0.325149,0.315608
"XGB Model1 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.012352,0.068319,0.678561,0.677947
"XGB Model1 (learning_rate = 0.1, max_depth = 3, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.026244,0.094242,0.142632,0.130510
"XGB Model1 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.010550,0.065725,0.725452,0.724928
"XGB Model1 (learning_rate = 0.1, max_depth = 3, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.027836,0.094501,0.090617,0.077760
"XGB Model1 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.010108,0.065295,0.736969,0.736467
"XGB Model1 (learning_rate = 0.1, max_depth = 5, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022388,0.091600,0.268613,0.258272
"XGB Model1 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.006419,0.056319,0.832958,0.832639
"XGB Model1 (learning_rate = 0.1, max_depth = 5, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.023875,0.092626,0.220040,0.209013
"XGB Model1 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Training_Set,0.004850,0.050163,0.873778,0.873537
"XGB Model1 (learning_rate = 0.1, max_depth = 5, n_estimators = 500) - 2017Q1 to 2026Q4)",Holdout_Set,0.024820,0.093678,0.189173,0.177709
"XGB Model1 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Training_Set,0.006242,0.055606,0.837553,0.837243
"XGB Model1 (learning_rate = 0.1, max_depth = 7, n_estimators = 100) - 2017Q1 to 2026Q4)",Holdout_Set,0.022952,0.092332,0.250194,0.239593
"XGB Model1 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Training_Set,0.002805,0.039009,0.927002,0.926863
"XGB Model1 (learning_rate = 0.1, max_depth = 7, n_estimators = 300) - 2017Q1 to 2026Q4)",Holdout_Set,0.023660,0.093885,0.227064,0.216137
