Date,VIX,SOX,DJIA,IXIC,SP500,FnG
2017-07-07,11.19,1054.9,21414.34,6153.08,2425.18,49.0
2017-07-10,11.11,1067.1,21408.52,6176.39,2427.43,46.0
2017-07-11,10.89,1075.42,21409.07,6193.3,2425.53,41.0
2017-07-12,10.3,1092.86,21532.14,6261.17,2443.25,47.0
2017-07-13,9.9,1090.13,21553.09,6274.44,2447.83,54.0
2017-07-14,9.51,1104.32,21637.74,6312.47,2459.27,64.0
2017-07-17,9.82,1099.55,21629.72,6314.43,2459.14,67.0
2017-07-18,9.89,1103.35,21574.73,6344.31,2460.61,62.0
2017-07-19,9.79,1113.18,21640.75,6385.04,2473.83,74.0
2017-07-20,9.58,1116.62,21611.78,6390.0,2473.45,76.0
2017-07-21,9.36,1107.54,21580.07,6387.75,2472.54,73.0
2017-07-24,9.43,1103.01,21513.17,6410.81,2469.91,72.0
2017-07-25,9.43,1102.59,21613.43,6412.17,2477.13,81.0
2017-07-26,9.6,1115.35,21711.01,6422.75,2477.83,78.0
2017-07-27,10.11,1097.27,21796.55,6382.19,2475.42,73.0
2017-07-28,10.29,1092.99,21830.31,6374.68,2472.1,70.0
2017-07-31,10.26,1085.15,21891.12,6348.12,2470.3,70.0
2017-08-01,10.09,1091.13,21963.92,6362.94,2476.35,65.0
2017-08-02,10.28,1083.96,22016.24,6362.65,2477.57,67.0
2017-08-03,10.44,1078.8,22026.1,6340.34,2472.16,59.0
2017-08-04,10.03,1079.45,22092.81,6351.56,2476.83,64.0
2017-08-07,9.93,1098.25,22118.42,6383.77,2480.91,63.0
2017-08-08,10.96,1093.77,22085.34,6370.46,2474.92,61.0
2017-08-09,11.11,1090.49,22048.7,6352.33,2474.02,54.0
2017-08-10,16.04,1060.02,21844.01,6216.87,2438.21,31.0
2017-08-11,15.51,1066.22,21858.32,6256.56,2441.32,28.0
2017-08-14,12.33,1093.74,21993.71,6340.23,2465.84,39.0
2017-08-15,12.04,1096.43,21998.99,6333.01,2464.61,36.0
2017-08-16,11.74,1098.07,22024.87,6345.11,2468.11,34.0
2017-08-17,15.55,1069.7,21750.73,6221.91,2430.01,19.0
2017-08-18,14.26,1071.89,21674.51,6216.53,2425.55,17.0
2017-08-21,13.19,1064.52,21703.75,6213.13,2428.37,15.0
2017-08-22,11.35,1081.64,21899.89,6297.48,2452.51,23.0
2017-08-23,12.25,1086.41,21812.09,6278.41,2444.04,19.0
2017-08-24,12.23,1085.93,21783.4,6271.33,2438.97,22.0
2017-08-25,11.28,1080.5,21813.67,6265.64,2443.05,27.0
2017-08-28,11.32,1082.62,21808.4,6283.02,2444.24,29.0
2017-08-29,11.7,1084.86,21865.37,6301.89,2446.3,28.0
2017-08-30,11.22,1103.69,21892.43,6368.31,2457.59,35.0
2017-08-31,10.59,1114.31,21948.1,6428.66,2471.65,43.0
2017-09-01,10.13,1119.34,21987.56,6435.33,2476.55,50.0
2017-09-05,12.23,1103.63,21753.31,6375.57,2457.85,35.0
2017-09-06,11.63,1105.76,21807.64,6393.31,2465.54,41.0
2017-09-07,11.55,1107.34,21784.78,6397.87,2465.1,38.0
2017-09-08,12.12,1093.49,21797.79,6360.19,2461.43,38.0
2017-09-11,10.73,1115.46,22057.37,6432.26,2488.11,53.0
2017-09-12,10.58,1120.2,22118.86,6454.28,2496.48,63.0
2017-09-13,10.5,1122.04,22158.18,6460.19,2498.37,68.0
2017-09-14,10.44,1127.42,22203.48,6429.08,2495.62,68.0
2017-09-15,10.17,1146.68,22268.34,6448.47,2500.23,77.0
