Algorithm,Model,Parameters,Rank,Feature,Importance,Cumulative_Importance
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",5,SOX_QoQ,0.04958891682231199,0.6205189559903348
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",6,QuarterlyReturn_Lag1,0.04048046190651018,0.660999417896845
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",7,VIX_QoQ,0.039578849954867934,0.700578267851713
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",8,Last3mCumulativeRevenue_last1,0.023766072490293735,0.7243443403420067
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",9,IXIC_QoQ,0.023522005009886316,0.747866345351893
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",10,DJIA_QoQ,0.021424225126277684,0.7692905704781707
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",11,SP500_QoQ,0.018949754625160683,0.7882403251033314
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",12,EPS_last1,0.01454326227450967,0.8027835873778411
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",13,VIX_QoQ_Lag1,0.012675937509671295,0.8154595248875124
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",14,IXIC_QoQ_Lag3,0.012295825958303905,0.8277553508458163
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",15,FnG_QoQ_Lag2,0.011157493841395565,0.8389128446872118
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",16,VIX_QoQ_Lag2,0.01106250784254504,0.8499753525297569
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",17,Last3mCumulativeRevenueGrowthRate_last1,0.011061289915893646,0.8610366424456505
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",18,ROA_last1,0.009822252851245425,0.8708588952968959
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",19,TotalUnempPct_QoQ_last1,0.0096996649769355,0.8805585602738314
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",20,ROE_last1,0.00967569129662123,0.8902342515704527
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",1,Spread_cur,0.3598290935484683,0.3598290935484683
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",2,TradingTurnover_cur,0.07300923637569502,0.4328383299241633
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",3,TradingVolume_cur,0.06576649731229117,0.4986048272364545
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",4,TradingMoney_cur,0.06539149840082242,0.5639963256372769
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",5,QuarterlyReturn_Lag1,0.052812699636476404,0.6168090252737533
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",6,SOX_QoQ,0.04981955310100454,0.6666285783747578
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",7,VIX_QoQ,0.0367643148796006,0.7033928932543584
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",8,SP500_QoQ,0.02579821968112044,0.7291911129354788
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",9,DJIA_QoQ,0.025594794111150496,0.7547859070466293
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",10,Last3mCumulativeRevenue_last1,0.02399264395085124,0.7787785509974805
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",11,IXIC_QoQ,0.016443882669010836,0.7952224336664914
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",12,FnG_QoQ_Lag2,0.01360556167488565,0.8088279953413771
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",13,EPS_last1,0.013237575357033463,0.8220655706984106
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",14,ROE_last1,0.011988121843929674,0.8340536925423403
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",15,VIX_QoQ_Lag2,0.011771438025330068,0.8458251305676704
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",16,VIX_QoQ_Lag1,0.011169927982159086,0.8569950585498295
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",17,Last3mCumulativeRevenueGrowthRate_last1,0.010484368919614085,0.8674794274694436
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",18,QuarterlyReturn_Lag3,0.00898411545908982,0.8764635429285335
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",19,ROA_last1,0.008782716127449696,0.8852462590559832
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",20,IXIC_QoQ_Lag3,0.00874007330502569,0.8939863323610089
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",1,Spread_cur,0.35763967631686716,0.35763967631686716
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",2,TradingTurnover_cur,0.07352342733566493,0.4311631036525321
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",3,TradingVolume_cur,0.07192587412924921,0.5030889777817813
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",4,TradingMoney_cur,0.06312036677137958,0.5662093445531609
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",5,QuarterlyReturn_Lag1,0.05327286252973407,0.6194822070828949
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",6,SOX_QoQ,0.04852901297921511,0.66801122006211
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",7,VIX_QoQ,0.0366019797104715,0.7046131997725815
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",8,DJIA_QoQ,0.02700618332169395,0.7316193830942754
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",9,Last3mCumulativeRevenue_last1,0.0245523449420787,0.7561717280363541
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",10,SP500_QoQ,0.023950632767008973,0.7801223608033631
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",11,IXIC_QoQ,0.016712861381588066,0.7968352221849512
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",12,FnG_QoQ_Lag2,0.013485540969397598,0.8103207631543488
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",13,EPS_last1,0.013330171162348758,0.8236509343166976
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",14,ROE_last1,0.013103116799067095,0.8367540511157646
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",15,VIX_QoQ_Lag2,0.011912594381088784,0.8486666454968534
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",16,VIX_QoQ_Lag1,0.010481640140736433,0.8591482856375898
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",17,Last3mCumulativeRevenueGrowthRate_last1,0.009849167052261529,0.8689974526898514
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",18,ROA_last1,0.009140878159385938,0.8781383308492373
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",19,IXIC_QoQ_Lag3,0.008647392296390699,0.886785723145628
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 500",20,VIX_QoQ_Lag3,0.007811953437455727,0.8945976765830838
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",1,Spread_cur,0.34980657512641183,0.34980657512641183
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",2,TradingTurnover_cur,0.0842509601193498,0.4340575352457616
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",3,TradingVolume_cur,0.07124709826081421,0.5053046335065758
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",4,TradingMoney_cur,0.06216637373156664,0.5674710072381425
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",5,SOX_QoQ,0.05332144406681276,0.6207924513049552
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",6,VIX_QoQ,0.045275329301045324,0.6660677806060005
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",7,QuarterlyReturn_Lag1,0.04364941571098529,0.7097171963169857
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",8,DJIA_QoQ,0.02823605635721207,0.7379532526741978
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",9,IXIC_QoQ,0.024874494065365585,0.7628277467395633
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",10,SP500_QoQ,0.024025408579695887,0.7868531553192593
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",11,Last3mCumulativeRevenue_last1,0.023408979105425144,0.8102621344246844
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",12,IXIC_QoQ_Lag3,0.014104228923363918,0.8243663633480484
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",13,VIX_QoQ_Lag1,0.013727277246352067,0.8380936405944004
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",14,FnG_QoQ_Lag2,0.009947839479664454,0.8480414800740649
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",15,TotalUnempPct_QoQ_last1,0.009368634711765491,0.8574101147858304
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",16,ROE_last1,0.009052354205330758,0.8664624689911612
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",17,VIX_QoQ_Lag2,0.00869122181633709,0.8751536908074983
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",18,FnG_QoQ,0.008396874239986866,0.8835505650474852
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",19,Last3mCumulativeRevenueGrowthRate_last1,0.008217240952324711,0.8917678059998099
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 100",20,ROA_last1,0.007832415552743669,0.8996002215525536
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",1,Spread_cur,0.35882796904865283,0.35882796904865283
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",2,TradingTurnover_cur,0.07323070407473053,0.43205867312338336
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",3,TradingVolume_cur,0.06878705791417813,0.5008457310375615
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",4,TradingMoney_cur,0.06461311079808325,0.5654588418356448
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",5,QuarterlyReturn_Lag1,0.057479861848616885,0.6229387036842616
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",6,SOX_QoQ,0.04966134084261545,0.672600044526877
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",7,VIX_QoQ,0.03956737518235061,0.7121674197092277
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",8,DJIA_QoQ,0.029379823693638688,0.7415472434028664
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",9,SP500_QoQ,0.028052230991272513,0.7695994743941389
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",10,Last3mCumulativeRevenue_last1,0.022651620071113442,0.7922510944652523
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",11,IXIC_QoQ,0.017771537875481924,0.8100226323407342
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",12,FnG_QoQ_Lag2,0.014206832190818527,0.8242294645315528
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",13,VIX_QoQ_Lag2,0.012452122976548536,0.8366815875081013
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",14,VIX_QoQ_Lag1,0.011949228874650811,0.8486308163827521
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",15,IXIC_QoQ_Lag3,0.009878776786480765,0.8585095931692328
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",16,ROE_last1,0.008773734099766397,0.8672833272689993
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",17,Last3mCumulativeRevenueGrowthRate_last1,0.008696123018193906,0.8759794502871932
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",18,TotalUnempPct_QoQ_last1,0.008688071773743736,0.8846675220609369
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",19,VIX_QoQ_Lag3,0.007255040733739249,0.8919225627946762
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 300",20,FnG_QoQ,0.006990528187636118,0.8989130909823123
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",1,Spread_cur,0.3642915038427146,0.3642915038427146
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",2,TradingVolume_cur,0.07424941450458068,0.43854091834729525
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",3,TradingTurnover_cur,0.0734528775122108,0.511993795859506
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",4,TradingMoney_cur,0.06224792414114731,0.5742417200006533
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",5,QuarterlyReturn_Lag1,0.055461672292357635,0.629703392293011
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",6,SOX_QoQ,0.04852183236562706,0.678225224658638
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",7,VIX_QoQ,0.03824408109248055,0.7164693057511186
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",8,DJIA_QoQ,0.029145513460897807,0.7456148192120163
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",9,SP500_QoQ,0.0256232565762012,0.7712380757882176
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",10,Last3mCumulativeRevenue_last1,0.02450672695619601,0.7957448027444136
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",11,IXIC_QoQ,0.01759724555768987,0.8133420483021034
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",12,FnG_QoQ_Lag2,0.013884075164479204,0.8272261234665826
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",13,VIX_QoQ_Lag2,0.01276634904850437,0.839992472515087
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",14,VIX_QoQ_Lag1,0.010691053035796741,0.8506835255508838
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",15,ROE_last1,0.009735869049968563,0.8604193946008524
RF,Model 1,"max_depth = 5, max_features = sqrt, min_samples_leaf = 20, n_estimators = 500",16,IXIC_QoQ_Lag3,0.008831919814417792,0.8692513144152701
