Algorithm,Model,Dataset,Parameters,MSE,MAE,R-Squared,Adj-R-Squared
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 100",0.018737,0.089811,0.387883,0.379698
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 300",0.018574,0.089267,0.393208,0.385095
RF,Model 1,Holdout Set,"max_depth = 15, max_features = sqrt, min_samples_leaf = 5, n_estimators = 500",0.018575,0.089141,0.393171,0.385057
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 100",0.020925,0.100023,0.316395,0.307255
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 300",0.020759,0.099713,0.321844,0.312777
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 10, n_estimators = 500",0.020753,0.099691,0.322024,0.312959
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 100",0.020923,0.100198,0.316475,0.307336
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 300",0.020837,0.099966,0.319289,0.310187
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 20, n_estimators = 500",0.020792,0.099873,0.320750,0.311669
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 100",0.021716,0.100552,0.290564,0.281078
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 300",0.021426,0.100272,0.300034,0.290675
RF,Model 1,Holdout Set,"max_depth = 5, max_features = 1.0, min_samples_leaf = 5, n_estimators = 500",0.021415,0.100264,0.300395,0.291042
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 100",0.022985,0.100307,0.249108,0.239069
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 300",0.023161,0.100327,0.243342,0.233225
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 10, n_estimators = 500",0.022953,0.099711,0.250170,0.240144
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 100",0.022727,0.099542,0.257540,0.247613
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 300",0.022957,0.099782,0.250014,0.239986
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 20, n_estimators = 500",0.022855,0.099427,0.253362,0.243379
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 100",0.023055,0.099869,0.246808,0.236738
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 300",0.023156,0.100246,0.243521,0.233407
RF,Model 1,Holdout Set,"max_depth = 5, max_features = log2, min_samples_leaf = 5, n_estimators = 500",0.022887,0.099508,0.252296,0.242299
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 100",0.021249,0.097513,0.305824,0.296543
RF,Model 1,Holdout Set,"max_depth = 5, max_features = sqrt, min_samples_leaf = 10, n_estimators = 300",0.021576,0.097962,0.295152,0.285728
